en-CA;ESDPHMIR;213407;PhotoMirage;69.99;;;;;;
da-DK;ESDPHMIR;213407;PhotoMirage;455;;;;;;0
de-DE;ESDPHMIR;213407;PhotoMirage;59,99;;;;;;
de-LI;ESDPHMIR;213407;PhotoMirage;61.95;;;;;;
en-AU;ESDPHMIR;213407;PhotoMirage;99;;;;;;
en-GB;ESDPHMIR;213407;PhotoMirage;49.99;;;;;;
en-IE;ESDPHMIR;213407;PhotoMirage;59.99;;;;;;
en-MY;ESDPHMIR;213407;PhotoMirage;275;;;;;;
en-NZ;ESDPHMIR;213407;PhotoMirage;109.99;;;;;;
en-SG;ESDPHMIR;213407;PhotoMirage;89.99;;;;;;
en-US;ESDPHMIR;213407;PhotoMirage;69.99;;;;;;
en-ZA;ESDPHMIR;213407;PhotoMirage;699;;;;;;
es-ES;ESDPHMIR;213407;PhotoMirage;59,99;;;;;;
es-MX;ESDPHMIR;213407;PhotoMirage;1,199;;;;;;
fr-FR;ESDPHMIR;213407;PhotoMirage;59,99;;;;;;
it-IT;ESDPHMIR;213407;PhotoMirage;59,99;;;;;;
ja-JP;ESDPHMIR;213407;PhotoMirage;9,015;;;;;;
ko-KR;ESDPHMIR;213407;PhotoMirage;81,999;;;;;;
nb-NO;ESDPHMIR;213407;PhotoMirage;599;;;;;;
nl-NL;ESDPHMIR;213407;PhotoMirage;59,99;;;;;;
pl-PL;ESDPHMIR;213407;PhotoMirage;249;;;;;;
pt-BR;ESDPHMIR;213407;PhotoMirage;229;;;;;;
se-SE;ESDPHMIR;213407;PhotoMirage;649.99;;;;;;
zh-HK;ESDPHMIR;213407;PhotoMirage;549;;;;;;
zh-TW;ESDPHMIR;213407;PhotoMirage;2,050;;;;;;
en-RW;ESDPHMIR;213407;PhotoMirage;69.99;;;;;;
