en-CA;ESDWPX9PREF;213729;OL_WP19PRO;519.99;;;;;;
en-CA;ESDWPX9PREFUG;213731;OL_WP19PRO;337.99;;;;;;
en-CA;WPOX9PREFDVDAM;5181541100;OL_WP19PRO;519.99;;;;;;
en-CA;WPOX9PREFDVDUGAM;5181541200;OL_WP19PRO;337.99;;;;;;
en-AU;ESDWPX9PREF;213729;OL_WP19PRO;449.95;;;;;;0
en-AU;ESDWPX9PREFUG;213731;OL_WP19PRO;299.95;;;;;;
en-GB;ESDWPX9PREF;213729;OL_WP19PRO;514.99;;;;;;
en-GB;ESDWPX9PREFUG;213731;OL_WP19PRO;254.99;;;;;;
en-US;ESDWPX9PREF;213729;OL_WP19PRO;399.99;;;;;;
en-US;ESDWPX9PREFUG;213731;OL_WP19PRO;259.99;;;;;;
en-US;WPOX9PREFDVDAM;5181541900;OL_WP19PRO;399.99;;;;;;
en-US;WPOX9PREFDVDUGAM;5181542000;OL_WP19PRO;259.99;;;;;;
ja-JP;ESDWPX9PREF;213729;OL_WP19PRO;61,508;;;;;;
ja-JP;ESDWPX9PREFUG;213731;OL_WP19PRO;33,737;;;;;;
